Wavelength_nm,n,k
250,1.0108,9.25927E-1
251,1.031063,9.63718E-1
252,1.054033,1.00098E+0
253,1.079748,1.03751E+0
254,1.108244,1.07309E+0
255,1.139541,1.10748E+0
256,1.173646,1.14042E+0
257,1.210545,1.17162E+0
258,1.250195,1.2008E+0
259,1.292517,1.22761E+0
260,1.337388,1.25172E+0
261,1.384634,1.27279E+0
262,1.434018,1.29046E+0
263,1.48524,1.3044E+0
264,1.537929,1.31428E+0
265,1.591646,1.31984E+0
266,1.645888,1.32087E+0
267,1.700099,1.31724E+0
268,1.753686,1.30891E+0
269,1.806042,1.29595E+0
270,1.856565,1.27854E+0
271,1.904692,1.25695E+0
272,1.949917,1.23158E+0
273,1.991814,1.20288E+0
274,2.030054,1.17138E+0
275,2.064413,1.13764E+0
276,2.094772,1.10221E+0
277,2.121112,1.06566E+0
278,2.143501,1.02849E+0
279,2.162084,9.91196E-1
280,2.177062,9.54174E-1
281,2.188679,9.1778E-1
282,2.197203,8.82303E-1
283,2.202917,8.47971E-1
284,2.206104,8.14958E-1
285,2.207039,7.83388E-1
286,2.205988,7.53344E-1
287,2.203194,7.24872E-1
288,2.198884,6.97993E-1
289,2.193265,6.72702E-1
290,2.186519,6.4898E-1
291,2.178811,6.26791E-1
292,2.170286,6.06095E-1
293,2.16107,5.86842E-1
294,2.151276,5.68981E-1
295,2.140998,5.52459E-1
296,2.130321,5.37222E-1
297,2.119316,5.2322E-1
298,2.108046,5.10402E-1
299,2.096563,4.98721E-1
300,2.084914,4.88135E-1
301,2.073138,4.78604E-1
302,2.06127,4.7009E-1
303,2.04934,4.62563E-1
304,2.037375,4.55993E-1
305,2.025397,4.50357E-1
306,2.01343,4.45634E-1
307,2.001492,4.41807E-1
308,1.989605,4.38863E-1
309,1.977786,4.36794E-1
310,1.966057,4.35593E-1
311,1.954438,4.35258E-1
312,1.94295,4.35791E-1
313,1.93162,4.37193E-1
314,1.920473,4.39473E-1
315,1.909541,4.42639E-1
316,1.898858,4.467E-1
317,1.888463,4.5167E-1
318,1.878401,4.57561E-1
319,1.868722,4.64386E-1
320,1.859483,4.72158E-1
321,1.850747,4.80888E-1
322,1.842586,4.90582E-1
323,1.83508,5.01245E-1
324,1.828316,5.12874E-1
325,1.822389,5.25458E-1
326,1.817404,5.38978E-1
327,1.813471,5.53402E-1
328,1.810707,5.68685E-1
329,1.809233,5.84763E-1
330,1.809172,6.01557E-1
331,1.810647,6.18965E-1
332,1.813777,6.36866E-1
333,1.818673,6.55112E-1
334,1.825435,6.73537E-1
335,1.834142,6.91949E-1
336,1.844857,7.10135E-1
337,1.857612,7.27866E-1
338,1.872409,7.44896E-1
339,1.889215,7.60971E-1
340,1.907957,7.75833E-1
341,1.928522,7.89226E-1
342,1.950757,8.00908E-1
343,1.974465,8.10653E-1
344,1.999414,8.18264E-1
345,2.025338,8.23577E-1
346,2.051943,8.26473E-1
347,2.078918,8.26877E-1
348,2.10594,8.24767E-1
349,2.13269,8.20171E-1
350,2.158858,8.13171E-1
351,2.184155,8.03893E-1
352,2.208322,7.92507E-1
353,2.231138,7.79216E-1
354,2.25242,7.6425E-1
355,2.272032,7.47852E-1
356,2.289878,7.30276E-1
357,2.305908,7.11771E-1
358,2.320109,6.9258E-1
359,2.332501,6.7293E-1
360,2.343134,6.53029E-1
361,2.35208,6.33064E-1
362,2.359429,6.13197E-1
363,2.365283,5.93568E-1
364,2.369752,5.74294E-1
365,2.372948,5.55468E-1
366,2.374986,5.37166E-1
367,2.375976,5.19444E-1
368,2.376026,5.02344E-1
369,2.375238,4.85894E-1
370,2.373706,4.7011E-1
371,2.371519,4.54998E-1
372,2.368758,4.40558E-1
373,2.365497,4.26783E-1
374,2.361803,4.1366E-1
375,2.357737,4.01176E-1
376,2.353353,3.8931E-1
377,2.348698,3.78044E-1
378,2.343816,3.67355E-1
379,2.338746,3.57222E-1
380,2.33352,3.47622E-1
381,2.328169,3.38532E-1
382,2.322718,3.29931E-1
383,2.317191,3.21798E-1
384,2.311607,3.14111E-1
385,2.305984,3.06852E-1
386,2.300338,2.99999E-1
387,2.294682,2.93537E-1
388,2.289026,2.87446E-1
389,2.283383,2.81713E-1
390,2.277759,2.7632E-1
391,2.272163,2.71254E-1
392,2.266602,2.66502E-1
393,2.261081,2.62051E-1
394,2.255605,2.57889E-1
395,2.250179,2.54006E-1
396,2.244807,2.50393E-1
397,2.239492,2.4704E-1
398,2.234238,2.43938E-1
399,2.229048,2.4108E-1
400,2.223924,2.38459E-1
401,2.218869,2.36069E-1
402,2.213886,2.33903E-1
403,2.208977,2.31957E-1
404,2.204145,2.30225E-1
405,2.199392,2.28704E-1
