Wavelength_nm,n,k
455.0,2.06523,0.41812
456.0,2.12657,0.49649
457.0,2.2312,0.55354
458.0,2.36386,0.5579
459.0,2.48366,0.49849
460.0,2.5558,0.40108
461.0,2.57843,0.30236
462.0,2.56956,0.22188
463.0,2.54626,0.16233
464.0,2.51849,0.11979
465.0,2.49088,0.08954
466.0,2.46524,0.06784
467.0,2.4421,0.05206
468.0,2.42141,0.0404
469.0,2.40294,0.03164
470.0,2.38642,0.02498
471.0,2.37158,0.01985
472.0,2.35817,0.01585
473.0,2.34598,0.01269
474.0,2.33485,0.01019
475.0,2.32463,0.00818
476.0,2.31518,0.00657
477.0,2.30642,0.00527
478.0,2.29826,0.00421
479.0,2.29061,0.00335
480.0,2.28344,0.00264
481.0,2.27667,0.00207
482.0,2.27027,0.0016
483.0,2.2642,0.00123
484.0,2.25843,0.000918
485.0,2.25292,0.000672
486.0,2.24766,0.000477
487.0,2.24263,0.000325
488.0,2.23779,0.000208
489.0,2.23314,0.000122
490.0,2.22867,6.2e-05
491.0,2.22436,2.4e-05
492.0,2.2202,4e-06
493.0,2.21618,0.0
494.0,2.2123,0.0
495.0,2.20854,0.0
496.0,2.20489,0.0
497.0,2.20134,0.0
498.0,2.19789,0.0
499.0,2.19452,0.0
500.0,2.19123,0.0
