Wavelength_nm,n,k
300.82,2.172,2.8455E-1
301.64,2.1692,2.7736E-1
302.46,2.16643,2.7038E-1
303.28,2.16369,2.6362E-1
304.11,2.16097,2.5706E-1
304.93,2.15828,2.507E-1
305.75,2.15562,2.4452E-1
306.57,2.15298,2.3854E-1
307.39,2.15037,2.3272E-1
308.21,2.14778,2.2708E-1
309.04,2.14522,2.2161E-1
309.86,2.14268,2.163E-1
310.68,2.14016,2.1114E-1
311.5,2.13767,2.0613E-1
312.32,2.13521,2.0126E-1
313.15,2.13276,1.9653E-1
313.97,2.13034,1.9194E-1
314.79,2.12794,1.8748E-1
315.61,2.12557,1.8314E-1
316.43,2.12322,1.7893E-1
317.26,2.12088,1.7483E-1
318.08,2.11858,1.7085E-1
318.9,2.11629,1.6698E-1
319.72,2.11402,1.6322E-1
320.54,2.11177,1.5955E-1
321.37,2.10955,1.5599E-1
322.19,2.10734,1.5253E-1
323.01,2.10516,1.4916E-1
323.83,2.10299,1.4588E-1
324.66,2.10085,1.4269E-1
325.48,2.09872,1.3958E-1
326.3,2.09661,1.3656E-1
327.12,2.09452,1.3362E-1
327.94,2.09245,1.3075E-1
328.77,2.0904,1.2796E-1
329.59,2.08837,1.2525E-1
330.41,2.08635,1.226E-1
331.23,2.08435,1.2002E-1
332.06,2.08237,1.1751E-1
332.88,2.08041,1.1506E-1
333.7,2.07846,1.1268E-1
334.52,2.07654,1.1036E-1
335.35,2.07462,1.0809E-1
336.17,2.07273,1.0589E-1
336.99,2.07085,1.0373E-1
337.81,2.06899,1.0164E-1
338.64,2.06714,9.959E-2
339.46,2.06531,9.759E-2
340.28,2.06349,9.565E-2
341.1,2.06169,9.375E-2
341.93,2.05991,9.19E-2
342.75,2.05814,9.009E-2
343.57,2.05639,8.833E-2
344.39,2.05465,8.661E-2
345.22,2.05292,8.493E-2
346.04,2.05121,8.33E-2
346.86,2.04951,8.17E-2
347.68,2.04783,8.014E-2
348.51,2.04616,7.861E-2
349.33,2.04451,7.712E-2
350.15,2.04287,7.567E-2
350.97,2.04124,7.425E-2
351.8,2.03963,7.287E-2
352.62,2.03802,7.151E-2
353.44,2.03644,7.019E-2
354.27,2.03486,6.89E-2
355.09,2.0333,6.764E-2
355.91,2.03175,6.64E-2
356.73,2.03021,6.52E-2
357.56,2.02869,6.402E-2
358.38,2.02718,6.287E-2
359.2,2.02568,6.174E-2
360.02,2.02419,6.064E-2
360.85,2.02271,5.956E-2
361.67,2.02125,5.851E-2
362.49,2.01979,5.748E-2
363.32,2.01835,5.647E-2
364.14,2.01692,5.549E-2
364.96,2.0155,5.453E-2
365.78,2.01409,5.358E-2
366.61,2.0127,5.266E-2
367.43,2.01131,5.176E-2
368.25,2.00993,5.088E-2
369.08,2.00857,5.001E-2
369.9,2.00722,4.917E-2
370.72,2.00587,4.834E-2
371.54,2.00454,4.753E-2
372.37,2.00321,4.674E-2
373.19,2.0019,4.596E-2
374.01,2.0006,4.52E-2
374.84,1.99931,4.446E-2
375.66,1.99802,4.373E-2
376.48,1.99675,4.302E-2
377.3,1.99548,4.232E-2
378.13,1.99423,4.163E-2
378.95,1.99298,4.096E-2
379.77,1.99175,4.03E-2
380.6,1.99052,3.966E-2
381.42,1.9893,3.903E-2
382.24,1.9881,3.841E-2
383.06,1.9869,3.781E-2
383.89,1.98571,3.721E-2
384.71,1.98452,3.663E-2
385.53,1.98335,3.606E-2
386.36,1.98219,3.55E-2
387.18,1.98103,3.495E-2
388,1.97988,3.442E-2
388.83,1.97874,3.389E-2
389.65,1.97761,3.337E-2
390.47,1.97649,3.287E-2
391.29,1.97538,3.237E-2
392.12,1.97427,3.188E-2
392.94,1.97317,3.14E-2
393.76,1.97208,3.094E-2
394.59,1.971,3.048E-2
395.41,1.96992,3.002E-2
396.23,1.96885,2.958E-2
397.06,1.96779,2.915E-2
397.88,1.96674,2.872E-2
398.7,1.9657,2.83E-2
399.52,1.96466,2.789E-2
400.35,1.96363,2.749E-2
401.17,1.9626,2.709E-2
401.99,1.96159,2.671E-2
402.82,1.96058,2.632E-2
403.64,1.95958,2.595E-2
404.46,1.95858,2.558E-2
405.29,1.95759,2.522E-2
406.11,1.95661,2.487E-2
406.93,1.95564,2.452E-2
407.75,1.95467,2.418E-2
408.58,1.95371,2.384E-2
409.4,1.95275,2.351E-2
410.22,1.95181,2.319E-2
411.05,1.95087,2.287E-2
411.87,1.94993,2.256E-2
412.69,1.949,2.225E-2
413.51,1.94808,2.195E-2
414.34,1.94716,2.166E-2
415.16,1.94625,2.136E-2
415.98,1.94535,2.108E-2
416.81,1.94445,2.08E-2
417.63,1.94356,2.052E-2
418.45,1.94267,2.025E-2
419.28,1.94179,1.998E-2
420.1,1.94092,1.972E-2
420.92,1.94005,1.946E-2
421.74,1.93919,1.921E-2
422.57,1.93833,1.896E-2
423.39,1.93748,1.872E-2
424.21,1.93663,1.847E-2
425.04,1.93579,1.824E-2
425.86,1.93496,1.8E-2
426.68,1.93413,1.778E-2
427.51,1.93331,1.755E-2
428.33,1.93249,1.733E-2
429.15,1.93167,1.711E-2
429.97,1.93087,1.69E-2
430.8,1.93006,1.669E-2
431.62,1.92927,1.648E-2
432.44,1.92847,1.627E-2
433.27,1.92769,1.607E-2
434.09,1.9269,1.587E-2
434.91,1.92613,1.568E-2
435.73,1.92535,1.549E-2
436.56,1.92459,1.53E-2
437.38,1.92382,1.512E-2
438.2,1.92307,1.493E-2
439.03,1.92231,1.475E-2
439.85,1.92156,1.458E-2
440.67,1.92082,1.44E-2
441.49,1.92008,1.423E-2
442.32,1.91935,1.406E-2
443.14,1.91862,1.39E-2
443.96,1.91789,1.373E-2
444.78,1.91717,1.357E-2
445.61,1.91646,1.341E-2
446.43,1.91574,1.326E-2
447.25,1.91504,1.31E-2
448.08,1.91433,1.295E-2
448.9,1.91364,1.28E-2
449.72,1.91294,1.266E-2
450.54,1.91225,1.251E-2
451.37,1.91157,1.237E-2
452.19,1.91088,1.223E-2
453.01,1.91021,1.209E-2
453.83,1.90953,1.196E-2
454.66,1.90886,1.182E-2
455.48,1.9082,1.169E-2
456.3,1.90754,1.156E-2
457.13,1.90688,1.143E-2
457.95,1.90623,1.131E-2
458.77,1.90558,1.118E-2
459.59,1.90493,1.106E-2
460.42,1.90429,1.094E-2
461.24,1.90365,1.082E-2
462.06,1.90302,1.07E-2
462.88,1.90239,1.059E-2
463.71,1.90176,1.047E-2
464.53,1.90114,1.036E-2
465.35,1.90052,1.025E-2
466.17,1.8999,1.014E-2
467,1.89929,1.003E-2
467.82,1.89868,9.92E-3
468.64,1.89808,9.82E-3
469.46,1.89748,9.72E-3
470.29,1.89688,9.61E-3
471.11,1.89628,9.51E-3
471.93,1.89569,9.42E-3
472.75,1.89511,9.32E-3
473.58,1.89452,9.22E-3
474.4,1.89394,9.13E-3
475.22,1.89336,9.03E-3
476.04,1.89279,8.94E-3
476.86,1.89222,8.85E-3
477.69,1.89165,8.76E-3
478.51,1.89109,8.67E-3
479.33,1.89053,8.58E-3
480.15,1.88997,8.5E-3
480.98,1.88941,8.41E-3
481.8,1.88886,8.33E-3
482.62,1.88831,8.25E-3
483.44,1.88777,8.16E-3
484.27,1.88723,8.08E-3
485.09,1.88669,8E-3
485.91,1.88615,7.92E-3
486.73,1.88562,7.85E-3
487.55,1.88509,7.77E-3
488.38,1.88456,7.7E-3
489.2,1.88404,7.62E-3
490.02,1.88352,7.55E-3
490.84,1.883,7.47E-3
491.66,1.88248,7.4E-3
492.49,1.88197,7.33E-3
493.31,1.88146,7.26E-3
494.13,1.88095,7.19E-3
494.95,1.88045,7.13E-3
495.77,1.87995,7.06E-3
496.6,1.87945,6.99E-3
497.42,1.87895,6.93E-3
498.24,1.87846,6.86E-3
499.06,1.87797,6.8E-3
499.88,1.87748,6.73E-3
