Wavelength_nm,n,k
350.0,1.450621516,0.431182682
355.0,1.471080675,0.474593966
360.0,1.502573359,0.507469021
365.0,1.545413169,0.554160331
370.0,1.584598271,0.597007168
375.0,1.652103543,0.626255874
380.0,1.73055584,0.657398264
385.0,1.809104975,0.658478163
390.0,1.92023648,0.639442306
395.0,1.993692145,0.599619216
400.0,2.086992899,0.533940692
405.0,2.16220747,0.455593516
410.0,2.19774221,0.325096065
415.0,2.16741707,0.169451704
420.0,2.090213533,0.08121323
425.0,2.001669799,0.044900437
430.0,1.953580341,0.039984478
435.0,1.92229156,0.037241064
440.0,1.896542876,0.034615558
445.0,1.877133575,0.032683234
450.0,1.861079633,0.031200949
455.0,1.8437812,0.029836159
460.0,1.829726663,0.029140145
465.0,1.818541613,0.029140111
470.0,1.807422761,0.029536787
475.0,1.799328481,0.030577839
480.0,1.792538975,0.031677911
485.0,1.78615026,0.033424093
490.0,1.782222736,0.033426696
495.0,1.778195002,0.034364619
500.0,1.772644306,0.034367451
505.0,1.770815986,0.033952153
510.0,1.768818759,0.032740841
515.0,1.767556971,0.031308789
520.0,1.762259482,0.029423512
525.0,1.762053724,0.026960343
530.0,1.758267231,0.024390886
535.0,1.756440711,0.021987835
540.0,1.751660758,0.019869682
545.0,1.749997165,0.017669291
550.0,1.747873916,0.015601449
555.0,1.742094057,0.013770883
560.0,1.739221329,0.012100768
565.0,1.736437649,0.010407627
570.0,1.732586237,0.009607719
575.0,1.730702094,0.008468385
580.0,1.727169164,0.007715489
585.0,1.725948043,0.006982284
590.0,1.719844257,0.006386505
595.0,1.719294455,0.005956604
600.0,1.717420525,0.005561284
605.0,1.715595412,0.005222113
610.0,1.709068249,0.005005205
615.0,1.708800274,0.004702737
620.0,1.707674508,0.004475618
625.0,1.703096767,0.004254642
630.0,1.703083906,0.004093956
635.0,1.702964453,0.00390608
640.0,1.698340437,0.00376851
645.0,1.698320444,0.003625122
650.0,1.698339404,0.003471148
655.0,1.692711623,0.003335629
660.0,1.692604334,0.00321757
665.0,1.692604318,0.003156355
670.0,1.692621434,0.003063078
675.0,1.687049182,0.002914477
680.0,1.686888178,0.002802287
685.0,1.686888188,0.00272257
690.0,1.686888531,0.002635859
695.0,1.684984491,0.002579777
700.0,1.682123144,0.002467161
705.0,1.682124746,0.00239707
710.0,1.68212476,0.002327993
715.0,1.681353065,0.002299765
720.0,1.674760751,0.002197054
725.0,1.674503252,0.002135703
730.0,1.674503241,0.002074666
735.0,1.674503241,0.002014776
740.0,1.674503189,0.001978504
745.0,1.673289269,0.001927508
750.0,1.668800381,0.001876266
755.0,1.668787114,0.001813553
760.0,1.668787112,0.001767128
765.0,1.668787112,0.001706136
770.0,1.668787112,0.00168041
775.0,1.668787169,0.001651919
780.0,1.666882399,0.001603922
785.0,1.664021291,0.001556219
790.0,1.664023671,0.001555911
795.0,1.664023671,0.001502419
800.0,1.664023671,0.001427116
805.0,1.664023671,0.001374407
810.0,1.664023464,0.001340606
815.0,1.662665108,0.001301344
820.0,1.65830756,0.001264792
825.0,1.658307544,0.001229931
830.0,1.658307542,0.001219721
835.0,1.658307542,0.001249234
840.0,1.658307542,0.001235954
845.0,1.658307542,0.001193872
850.0,1.658307541,0.001174134
855.0,1.658312591,0.001161507
860.0,1.654732596,0.001129658
865.0,1.652591167,0.001105637
870.0,1.652591413,0.001102515
875.0,1.652591413,0.00105759
880.0,1.652591413,0.001053622
885.0,1.652591413,0.001035041
890.0,1.652591413,0.001005812
895.0,1.652591413,0.000995935
900.0,1.652591413,0.000979967
905.0,1.652591151,0.000963099
910.0,1.6510313,0.000937828
915.0,1.647827409,0.000936901
920.0,1.647827971,0.00091706
925.0,1.647827972,0.000896329
930.0,1.647827972,0.000887289
935.0,1.647827972,0.000879007
940.0,1.647827972,0.000863233
945.0,1.647827972,0.000847339
950.0,1.647827972,0.000835102
955.0,1.647827972,0.00081316
960.0,1.647827979,0.000808111
965.0,1.647706447,0.000796301
970.0,1.642050181,0.000786206
975.0,1.642111837,0.000777768
980.0,1.642111843,0.000760675
985.0,1.642111843,0.000760515
990.0,1.642111843,0.000736509
995.0,1.642111843,0.000735993
1000.0,1.642111843,0.000736299
1005.0,1.642111843,0.000723903
1010.0,1.642111843,0.000712892
1015.0,1.642111843,0.000692855
1020.0,1.642111843,0.000686908
1025.0,1.642111597,0.000673999
1030.0,1.639723405,0.000674007
1035.0,1.636342294,0.000658316
1040.0,1.634490087,0.000652146
1045.0,1.634490337,0.000652003
1050.0,1.634490337,0.00063054
1055.0,1.634490337,0.000624068
1060.0,1.634490337,0.000623981
1065.0,1.634490337,0.000610535
1070.0,1.634490337,0.000610489
1075.0,1.634490337,0.000600806
1080.0,1.634490337,0.000587224
1085.0,1.634490337,0.000587446
1090.0,1.634490337,0.000577619
1095.0,1.634490224,0.000577827
1100.0,1.633671659,0.000575522
1105.0,1.629714984,0.000552924
1110.0,1.629726891,0.00055296
1115.0,1.629726896,0.00055171
1120.0,1.629726896,0.000540931
1125.0,1.629726896,0.00054093
1130.0,1.629726896,0.000540086
1135.0,1.629726896,0.00052458
1140.0,1.629726896,0.000520505
1145.0,1.629726896,0.000520631
1150.0,1.629726896,0.000513729
1155.0,1.629726896,0.000506374
1160.0,1.629726896,0.000506355
1165.0,1.629726896,0.000489759
1170.0,1.629726898,0.000489954
1175.0,1.629733362,0.000489948
1180.0,1.625931343,0.000479159
1185.0,1.622107074,0.000479296
1190.0,1.622105391,0.000479296
1195.0,1.622105391,0.000479296
