wl,n
0.400,1.80586
0.401,1.80571
0.402,1.80695
0.403,1.81030
0.404,1.81685
0.405,1.82832
0.406,1.84735
0.407,1.87788
0.408,1.92542
0.409,1.99650
0.410,2.09558
0.411,2.21724
0.412,2.33657
0.413,2.41570
0.414,2.43497
0.415,2.40779
0.416,2.35943
0.417,2.30759
0.418,2.26029
0.419,2.21991
0.420,2.18644
0.421,2.15917
0.422,2.13753
0.423,2.12038
0.424,2.10602
0.425,2.09368
0.426,2.08289
0.427,2.07333
0.428,2.06478
0.429,2.05706
0.430,2.05005
0.431,2.04364
0.432,2.03775
0.433,2.03231
0.434,2.02726
0.435,2.02257
0.436,2.01818
0.437,2.01408
0.438,2.01022
0.439,2.00659
0.440,2.00317
0.441,1.99993
0.442,1.99686
0.443,1.99395
0.444,1.99119
0.445,1.98855
0.446,1.98604
0.447,1.98364
0.448,1.98134
0.449,1.97914
0.450,1.97704
0.451,1.97502
0.452,1.97307
0.453,1.97121
0.454,1.96941
0.455,1.96768
0.456,1.96602
0.457,1.96441
0.458,1.96285
0.459,1.96135
0.460,1.95990
0.461,1.95850
0.462,1.95714
0.463,1.95582
0.464,1.95454
0.465,1.95330
0.466,1.95210
0.467,1.95093
0.468,1.94980
0.469,1.94870
0.470,1.94763
0.471,1.94658
0.472,1.94557
0.473,1.94458
0.474,1.94362
0.475,1.94268
0.476,1.94177
0.477,1.94088
0.478,1.94001
0.479,1.93916
0.480,1.93833
0.481,1.93752
0.482,1.93673
0.483,1.93596
0.484,1.93521
0.485,1.93447
0.486,1.93375
0.487,1.93304
0.488,1.93235
0.489,1.93168
0.490,1.93101
0.491,1.93037
0.492,1.92973
0.493,1.92911
0.494,1.92850
0.495,1.92790
0.496,1.92732
0.497,1.92674
0.498,1.92618
0.499,1.92563
0.500,1.92508
0.501,1.92455
0.502,1.92403
0.503,1.92352
0.504,1.92301
0.505,1.92252
0.506,1.92203
0.507,1.92155
0.508,1.92109
0.509,1.92063
0.510,1.92017
0.511,1.91973
0.512,1.91929
0.513,1.91886
0.514,1.91843
0.515,1.91802
0.516,1.91761
0.517,1.91720
0.518,1.91681
0.519,1.91642
0.520,1.91603
0.521,1.91565
0.522,1.91528
0.523,1.91491
0.524,1.91455
0.525,1.91419
0.526,1.91384
0.527,1.91349
0.528,1.91315
0.529,1.91282
0.530,1.91249
0.531,1.91216
0.532,1.91184
0.533,1.91152
0.534,1.91121
0.535,1.91090
0.536,1.91060
0.537,1.91030
0.538,1.91000
0.539,1.90971
0.540,1.90942
0.541,1.90914
0.542,1.90886
0.543,1.90858
0.544,1.90831
0.545,1.90804
0.546,1.90777
0.547,1.90751
0.548,1.90725
0.549,1.90699
0.550,1.90674
0.551,1.90649
