wl,n
0.19146,2.04232
0.19305,2.05161
0.19465,2.06105
0.19625,2.07055
0.19784,2.08003
0.19944,2.08942
0.20104,2.09867
0.20263,2.10773
0.20423,2.11656
0.20583,2.12515
0.20742,2.13346
0.20902,2.14150
0.21062,2.14925
0.21222,2.15672
0.21381,2.16392
0.21541,2.17086
0.21701,2.17756
0.21860,2.18405
0.22020,2.19036
0.22180,2.19652
0.22340,2.20258
0.22499,2.20857
0.22659,2.21454
0.22819,2.22055
0.22979,2.22664
0.23139,2.23288
0.23298,2.23933
0.23458,2.24605
0.23618,2.25311
0.23778,2.26057
0.23938,2.26848
0.24097,2.27692
0.24257,2.28593
0.24417,2.29556
0.24577,2.30584
0.24737,2.31678
0.24897,2.32839
0.25057,2.34064
0.25216,2.35346
0.25376,2.36678
0.25536,2.38045
0.25696,2.39432
0.25856,2.40818
0.26016,2.42182
0.26176,2.43496
0.26336,2.44735
0.26496,2.45872
0.26656,2.46881
0.26815,2.47739
0.26975,2.48429
0.27135,2.48937
0.27295,2.49256
0.27455,2.49385
0.27615,2.49328
0.27775,2.49094
0.27935,2.48696
0.28095,2.48152
0.28255,2.47478
0.28415,2.46693
0.28575,2.45816
0.28735,2.44864
0.28895,2.43853
0.29055,2.42800
0.29215,2.41717
0.29375,2.40615
0.29535,2.39505
0.29695,2.38395
0.29855,2.37292
0.30015,2.36201
0.30175,2.35127
0.30335,2.34075
0.30495,2.33046
0.30655,2.32044
0.30815,2.31069
0.30975,2.30124
0.31135,2.29209
0.31295,2.28326
0.31455,2.27475
0.31615,2.26658
0.31775,2.25875
0.31935,2.25133
0.32095,2.24435
0.32255,2.23769
0.32416,2.23129
0.32576,2.22512
0.32736,2.21914
0.32896,2.21335
0.33056,2.20773
0.33216,2.20226
0.33376,2.19692
0.33536,2.19173
0.33696,2.18665
0.33856,2.18170
0.34016,2.17685
0.34176,2.17211
0.34336,2.16746
0.34497,2.16291
0.34657,2.15846
0.34817,2.15408
0.34977,2.14979
0.35137,2.14558
0.35297,2.14144
0.35457,2.13738
0.35617,2.13338
0.35777,2.12945
0.35938,2.12559
0.36098,2.12179
0.36258,2.11804
0.36418,2.11436
0.36578,2.11073
0.36738,2.10716
0.36898,2.10364
0.37058,2.10017
0.37219,2.09675
0.37379,2.09337
0.37539,2.09005
0.37699,2.08676
0.37859,2.08352
