wl,n
0.200,1.75347
0.201,1.75338
0.202,1.75018
0.203,1.74391
0.204,1.73476
0.205,1.72304
0.206,1.70921
0.207,1.69383
0.208,1.67767
0.209,1.66174
0.210,1.64751
0.211,1.63771
0.212,1.63408
0.213,1.62636
0.214,1.62168
0.215,1.61900
0.216,1.61951
0.217,1.62060
0.218,1.62411
0.219,1.63057
0.220,1.63866
0.221,1.64734
0.222,1.65664
0.223,1.66641
0.224,1.67571
0.225,1.68480
0.226,1.69360
0.227,1.70268
0.228,1.71176
0.229,1.72050
0.230,1.73032
0.231,1.74090
0.232,1.75181
0.233,1.76307
0.234,1.77546
0.235,1.78774
0.236,1.80029
0.237,1.81305
0.238,1.82522
0.239,1.83699
0.240,1.84836
0.241,1.85925
0.242,1.86873
0.243,1.87836
0.244,1.88725
0.245,1.89545
0.246,1.90348
0.247,1.91114
0.248,1.91841
0.249,1.92568
0.250,1.93302
0.251,1.93996
0.252,1.94667
0.253,1.95380
0.254,1.96062
0.255,1.96728
0.256,1.97398
0.257,1.98071
0.258,1.98796
0.259,1.99619
0.260,2.00529
0.261,2.01555
0.262,2.02797
0.263,2.04296
0.264,2.06055
0.265,2.08104
0.266,2.10480
0.267,2.13090
0.268,2.15684
0.269,2.18130
0.270,2.20323
0.271,2.22042
0.272,2.23382
0.273,2.24334
0.274,2.24880
0.275,2.25141
0.276,2.25180
0.277,2.25038
0.278,2.24741
0.279,2.24315
0.280,2.23823
0.281,2.23278
0.282,2.22670
0.283,2.22071
0.284,2.21472
0.285,2.20858
0.286,2.20278
0.287,2.19719
0.288,2.19172
0.289,2.18664
0.290,2.18181
0.291,2.17714
0.292,2.17269
0.293,2.16830
0.294,2.16401
0.295,2.16005
0.296,2.15623
0.297,2.15242
0.298,2.14893
0.299,2.14554
0.300,2.14203
0.301,2.13889
0.302,2.13602
0.303,2.13289
0.304,2.12992
0.305,2.12741
0.306,2.12493
0.307,2.12241
0.308,2.12001
0.309,2.11773
0.310,2.11553
0.311,2.11342
0.312,2.11140
0.313,2.10945
0.314,2.10759
0.315,2.10579
0.316,2.10403
0.317,2.10227
0.318,2.10050
0.319,2.09874
0.320,2.09703
0.321,2.09540
0.322,2.09386
0.323,2.09235
0.324,2.09083
0.325,2.08930
0.326,2.08782
0.327,2.08640
0.328,2.08506
0.329,2.08382
0.330,2.08260
0.331,2.08124
0.332,2.07982
0.333,2.07869
0.334,2.07786
0.335,2.07697
0.336,2.07589
0.337,2.07473
0.338,2.07359
0.339,2.07261
0.340,2.07174
0.341,2.07079
0.342,2.06971
0.343,2.06872
0.344,2.06787
0.345,2.06700
0.346,2.06602
0.347,2.06500
0.348,2.06399
0.349,2.06304
0.350,2.06216
0.351,2.06130
0.352,2.06040
0.353,2.05946
0.354,2.05850
0.355,2.05754
0.356,2.05654
0.357,2.05552
0.358,2.05460
0.359,2.05380
0.360,2.05294
0.361,2.05183
0.362,2.05059
0.363,2.04954
0.364,2.04872
0.365,2.04792
0.366,2.04697
0.367,2.04589
0.368,2.04472
0.369,2.04352
0.370,2.04231
0.371,2.04110
0.372,2.03987
0.373,2.03857
0.374,2.03715
0.375,2.03552
0.376,2.03366
0.377,2.03160
0.378,2.02937
0.379,2.02694
0.380,2.02422
0.381,2.02114
0.382,2.01759
0.383,2.01349
0.384,2.00880
0.385,2.00347
0.386,1.99748
0.387,1.99072
0.388,1.98310
0.389,1.97493
0.390,1.96688
0.391,1.95986
0.392,1.95488
0.393,1.95306
0.394,1.95595
0.395,1.96539
0.396,1.98389
0.397,2.01719
0.398,2.07719
0.399,2.17218
0.400,2.28766
0.401,2.39504
0.402,2.47141
0.403,2.51345
0.404,2.52428
0.405,2.50888
0.406,2.47327
0.407,2.43055
0.408,2.39275
0.409,2.36351
0.410,2.33981
0.411,2.31797
0.412,2.29727
0.413,2.27850
0.414,2.26252
0.415,2.24923
0.416,2.23769
0.417,2.22693
0.418,2.21664
0.419,2.20700
0.420,2.19828
0.421,2.19052
0.422,2.18360
0.423,2.17733
0.424,2.17161
0.425,2.16645
0.426,2.16191
0.427,2.15783
0.428,2.15382
0.429,2.14911
0.430,2.14337
0.431,2.13672
0.432,2.12990
0.433,2.12354
0.434,2.11786
0.435,2.11279
0.436,2.10812
0.437,2.10374
0.438,2.09961
0.439,2.09568
0.440,2.09193
0.441,2.08834
0.442,2.08490
0.443,2.08159
0.444,2.07839
0.445,2.07532
0.446,2.07234
0.447,2.06946
0.448,2.06667
0.449,2.06397
0.450,2.06134
0.451,2.05879
0.452,2.05631
0.453,2.05390
0.454,2.05155
0.455,2.04926
0.456,2.04702
0.457,2.04485
0.458,2.04272
0.459,2.04064
0.460,2.03861
0.461,2.03663
0.462,2.03469
0.463,2.03279
0.464,2.03093
0.465,2.02911
0.466,2.02733
0.467,2.02558
0.468,2.02387
0.469,2.02219
0.470,2.02054
0.471,2.01892
0.472,2.01734
0.473,2.01578
0.474,2.01425
0.475,2.01275
0.476,2.01127
0.477,2.00982
0.478,2.00839
0.479,2.00699
0.480,2.00561
0.481,2.00425
0.482,2.00292
0.483,2.00160
0.484,2.00031
0.485,1.99903
0.486,1.99778
0.487,1.99654
0.488,1.99533
0.489,1.99413
0.490,1.99295
0.491,1.99178
0.492,1.99063
0.493,1.98950
0.494,1.98839
0.495,1.98729
0.496,1.98620
0.497,1.98513
0.498,1.98408
0.499,1.98303
0.500,1.98201
0.501,1.98099
0.502,1.97999
0.503,1.97900
0.504,1.97803
0.505,1.97706
0.506,1.97611
0.507,1.97517
0.508,1.97424
0.509,1.97333
0.510,1.97242
0.511,1.97153
0.512,1.97064
0.513,1.96977
0.514,1.96891
0.515,1.96805
0.516,1.96721
